pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,813.8020324660715
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,821.8328877132378
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,835.2400262384551
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,830.850909762887
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,825.1134253155604
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,819.8551953328249
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,811.3798536902485
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,813.8020324660715
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,821.8328877132378
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,835.2400262384551
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,830.850909762887
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,825.1134253155604
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,819.8551953328249
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,811.3798536902485
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,813.8020324660715
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,821.8328877132378
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,835.2400262384551
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,830.850909762887
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,825.1134253155604
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,819.8551953328249
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,811.3798536902485
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,813.8020324660715
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,821.8328877132378
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,835.2400262384551
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,830.850909762887
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,825.1134253155604
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,819.8551953328249
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,811.3798536902485
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,813.8020324660715
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,821.8328877132378
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,835.2400262384551
