feature,importance
equipment,23.58644302016558
distance_log,14.32467733812878
geo_distance,14.27291036282186
distance,9.92900644714368
quote_signal,8.942355381034055
weight_abs,7.307392357491892
month,4.170267399551654
market_index,2.916599904868096
delivery_lat,2.14426091255623
month_cos,2.1152127589541654
pickup_lat,1.9711985119477993
pickup,1.6301347562114878
route,1.509630426768609
delivery,1.3684096574182734
pickup_lon,0.8623076887898432
delivery_lon,0.8226421040278746
month_sin,0.726895565114573
distance_ratio,0.4330504293206059
dow_sin,0.3941917871805466
dow_cos,0.324006454847082
dow,0.19811327977191937
route_eq,0.050293455885403446
weight_missing,0.0
